ID;SDN_P01_code;Aquo_Grootheid_code;Aquo_ChemischeStof_code;Aquo_biotaxon_code;Aquo_Compartiment_code;Aquo_Monstercriterium_code;Aquo_Hoedanigheid_code;D_BEGIN;D_EIND;D_STATUS
272;"RWS00155";"CONCTTE";"Ti";;"OW";;"nf";11-12-2014;;"G"
273;"RWS00156";"CONCTTE";"Co";;"OW";;"nf";11-12-2014;;"G"
274;"RWS00157";"CONCTTE";"Mo";;"OW";;"nf";11-12-2014;;"G"
275;"RWS00158";"CONCTTE";"Sn";;"OW";;"nf";11-12-2014;;"G"
276;"RWS00159";"CONCTTE";"V";;"OW";;"nf";11-12-2014;;"G"
277;"RWS00160";"CONCTTE";"Tl";;"OW";;"nf";11-12-2014;;"G"
278;"RWS00161";"CONCTTE";"Sr";;"OW";;"nf";11-12-2014;;"G"
279;"RWSPM001";"MASSFTE";"PBDE153";;"ZS";;"dg";11-12-2014;;"G"
280;"RWSPM002";"MASSFTE";"PBDE154";;"ZS";;"dg";11-12-2014;;"G"
281;"RWSPM003";"MASSFTE";"PBDE99";;"ZS";;"dg";11-12-2014;;"G"
282;"RWSPM004";"MASSFTE";"PBDE100";;"ZS";;"dg";11-12-2014;;"G"
283;"RWSPM005";"MASSFTE";"PBDE47";;"ZS";;"dg";11-12-2014;;"G"
284;"RWSPM006";"MASSFTE";"PBDE28";;"ZS";;"dg";11-12-2014;;"G"
285;"RWSPM007";"MASSFTE";"24DDT";;"ZS";;"dg";11-12-2014;;"G"
286;"RWSPM008";"MASSFTE";"44DDD";;"ZS";;"dg";11-12-2014;;"G"
287;"RWSPM009";"MASSFTE";"44DDE";;"ZS";;"dg";11-12-2014;;"G"
288;"RWSPM010";"MASSFTE";"44DDT";;"ZS";;"dg";11-12-2014;;"G"
289;"RWSPM011";"MASSFTE";"aldn";;"ZS";;"dg";11-12-2014;;"G"
290;"RWSPM012";"MASSFTE";"aedsfn";;"ZS";;"dg";11-12-2014;;"G"
291;"RWSPM013";"MASSFTE";"cHpClepO";;"ZS";;"dg";11-12-2014;;"G"
292;"RWSPM014";"MASSFTE";"dieldn";;"ZS";;"dg";11-12-2014;;"G"
293;"RWSPM015";"MASSFTE";"endn";;"ZS";;"dg";11-12-2014;;"G"
