"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd";"Guid"
4768;"NVT";"X_CODNT";"X-coordinaat";"Ongedefinieerd";"2011-06-08";"2018-12-07";"Vervallen";"";"Id-05fd0561-4e23-40f5-95bb-01147fbc5f3c"
4768;"NVT";"X_CODNT";"X-coordinaat";"Grootheid";"2018-12-08";"2100-01-01";"Geldig";"";"Id-29513aa2-f2b4-4f5f-bb30-8dfdbff75c88"
4769;"13982-00-8";"Ta182";"tantalum 182";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-0452a992-0534-43fc-b56d-89ac535ea526"
477;"510-15-6";"C2y44DClbzlt";"ethyl-4,4'-dichloorbenzilaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-273f0be6-ccec-4421-ab47-05a1e59ebd87"
4770;"148-79-8";"tabdzl";"thiabendazol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-e3ff4f9c-d47d-4604-a046-f4bc43c14205"
4771;"10543-57-4";"TAED";"tetraacetylethyleendiamine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-52059431-32ec-4c94-bf44-62a60bd33234"
4772;"NVT";"Y_CODNT";"Y-coordinaat";"Ongedefinieerd";"2011-06-08";"2018-12-07";"Vervallen";"";"Id-0bd21ba3-00ea-4435-827f-712ff7621fa7"
4772;"NVT";"Y_CODNT";"Y-coordinaat";"Grootheid";"2018-12-08";"2100-01-01";"Geldig";"";"Id-89b41e1c-c22c-4840-81ae-8ce8c7d668f3"
4773;"2303-17-5";"Talt";"triallaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-cd5a10a4-222c-4b31-ae91-4a46970f32f8"
4774;"1031-47-6";"Tamfs";"triamifos";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-362469f7-96d2-4738-b3b3-3de514d1628d"
4775;"10540-29-1";"tamxfn";"tamoxifen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-ac07db32-d49e-449f-9f21-f0ca0e581d61"
4776;"76608-88-3";"Taptnl";"triapentenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-20873a85-0e1e-495b-8443-1624bb2deb65"
4777;"82097-50-5";"Tasfrn";"triasulfuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-8b600341-dc83-4056-bfbd-fe8e1c58af78"
4778;"102851-06-9";"taufvlnt";"tau-fluvalinaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-3631ee23-1e70-4c6e-9624-dd7c162b6281"
4779;"68-76-8";"Tazcn";"triazichon";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-a6b05b84-0f3b-4b1c-886f-038c2bab8927"
478;"13360-45-7";"Clbmrn";"chloorbromuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-33d9c121-b622-44f6-9b6a-7a95011c8adb"
4780;"112143-82-5";"Tazmt";"triazamaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-2e7e6c2f-6ff9-4d1b-980e-07f7d827660e"
4781;"7440-27-9";"Tb";"terbium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-3d0dd665-e2d2-40cb-9faf-d145cd27e5b7"
4782;"13981-29-8";"Tb160";"terbium 160";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-8f953d51-c517-427c-ade5-359c8fc59130"
4783;"37853-61-5";"TBBPADM";"tetrabroombifenol dimethyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-25135970-e628-4ae1-bc9d-5a45a8e876b0"
4784;"620-40-6";"TbenzAe";"tribenzylamine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-c4959a83-defe-4f65-a9f7-b6ca868a5f39"
4785;"101200-48-0";"TbnrC1y";"tribenuronmethyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-0f76912a-0520-484f-b02b-8cd0e1c31c64"
4786;"7440-26-8";"Tc";"technetium";"ChemischeStof";"2012-01-07";"2100-01-01";"Geldig";"";"Id-ce2ab4fc-d953-468a-ad6c-fd7df0632d36"
4787;"75-50-3";"TC1yAe";"trimethylamine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-fabd0675-e79d-4319-80bb-fc24b5c4d391"
