bodc_S27_id;nih_casnrURI;bodc_S27_altlable;CASnummer;aquo_parameter.code;aquo_parameter.omschrijving;Status
http://vocab.nerc.ac.uk/collection/S27/current/CS001033/;https://chem.nlm.nih.gov/chemidplus/rn/2437-79-8;PCB47;2437-79-8;PCB47;2,2',4,4'-tetrachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001033/;https://chem.nlm.nih.gov/chemidplus/rn/2437-79-8;PCB47;2437-79-8;PCB47;2,2',4,4'-tetrachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001040/;https://chem.nlm.nih.gov/chemidplus/rn/243982-82-3;BDE49;243982-82-3;PBDE49;2,2',4,5'-tetrabroomdifenylether;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001047/;https://chem.nlm.nih.gov/chemidplus/rn/35693-99-3;PCB52;35693-99-3;PCB52;2,2',5,5'-tetrachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001047/;https://chem.nlm.nih.gov/chemidplus/rn/35693-99-3;PCB52;35693-99-3;PCB52;2,2',5,5'-tetrachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001054/;https://chem.nlm.nih.gov/chemidplus/rn/52663-72-6;PCB167;52663-72-6;PCB167;2,3',4,4',5,5'-hexachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001054/;https://chem.nlm.nih.gov/chemidplus/rn/52663-72-6;PCB167;52663-72-6;PCB167;2,3',4,4',5,5'-hexachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001061/;https://chem.nlm.nih.gov/chemidplus/rn/31508-00-6;PCB118;31508-00-6;PCB118;2,3',4,4',5-pentachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001061/;https://chem.nlm.nih.gov/chemidplus/rn/31508-00-6;PCB118;31508-00-6;PCB118;2,3',4,4',5-pentachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001068/;https://chem.nlm.nih.gov/chemidplus/rn/69782-90-7;PCB157;69782-90-7;PCB157;2,3,3',4,4',5'-hexachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001068/;https://chem.nlm.nih.gov/chemidplus/rn/69782-90-7;PCB157;69782-90-7;PCB157;2,3,3',4,4',5'-hexachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001075/;https://chem.nlm.nih.gov/chemidplus/rn/39635-31-9;PCB189;39635-31-9;PCB189;2,3,3',4,4',5,5 '-heptachlorobifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001075/;https://chem.nlm.nih.gov/chemidplus/rn/39635-31-9;PCB189;39635-31-9;PCB189;2,3,3',4,4',5,5 '-heptachlorobifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001082/;https://chem.nlm.nih.gov/chemidplus/rn/38380-08-4;PCB156;38380-08-4;PCB156;2,3,3',4,4',5-hexachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001082/;https://chem.nlm.nih.gov/chemidplus/rn/38380-08-4;PCB156;38380-08-4;PCB156;2,3,3',4,4',5-hexachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001089/;https://chem.nlm.nih.gov/chemidplus/rn/32598-14-4;PCB105;32598-14-4;PCB105;2,3,3',4,4'-pentachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001089/;https://chem.nlm.nih.gov/chemidplus/rn/32598-14-4;PCB105;32598-14-4;PCB105;2,3,3',4,4'-pentachloorbifenyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001103/;https://chem.nlm.nih.gov/chemidplus/rn/53-19-0;o,p'-DDD mitotane;53-19-0;24DDD;2,4'-dichloordifenyldichloorethaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001103/;https://chem.nlm.nih.gov/chemidplus/rn/53-19-0;o,p'-DDD mitotane;53-19-0;24DDD;2,4'-dichloordifenyldichloorethaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001110/;https://chem.nlm.nih.gov/chemidplus/rn/3424-82-6;o,p'-DDE;3424-82-6;24DDE;2,4'-dichloordifenyldichlooretheen;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001110/;https://chem.nlm.nih.gov/chemidplus/rn/3424-82-6;o,p'-DDE;3424-82-6;24DDE;2,4'-dichloordifenyldichlooretheen;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001117/;https://chem.nlm.nih.gov/chemidplus/rn/789-02-6;o,p'-DDT;789-02-6;24DDT;2,4'-dichloordifenyltrichloorethaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001117/;https://chem.nlm.nih.gov/chemidplus/rn/789-02-6;o,p'-DDT;789-02-6;24DDT;2,4'-dichloordifenyltrichloorethaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001124/;https://chem.nlm.nih.gov/chemidplus/rn/120-36-5;2,4-DP 2,4-dichlorophenoxypropionic acid;120-36-5;24DP;2,4-dichloorfenoxypropionzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001124/;https://chem.nlm.nih.gov/chemidplus/rn/120-36-5;2,4-DP 2,4-dichlorophenoxypropionic acid;120-36-5;24DP;2,4-dichloorfenoxypropionzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001131/;https://chem.nlm.nih.gov/chemidplus/rn/83-46-5;beta-sitosterol;83-46-5;bsitsrl;beta-sitosterol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001145/;https://chem.nlm.nih.gov/chemidplus/rn/94-74-6;MCPA;94-74-6;MCPA;2-methyl-4-chloorfenoxyazijnzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001145/;https://chem.nlm.nih.gov/chemidplus/rn/94-74-6;MCPA;94-74-6;MCPA;2-methyl-4-chloorfenoxyazijnzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001152/;https://chem.nlm.nih.gov/chemidplus/rn/59-50-7;4-chloro-m-cresol;59-50-7;4Cl3C1yFol;4-chloor-3-methylfenol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001152/;https://chem.nlm.nih.gov/chemidplus/rn/59-50-7;4-chloro-m-cresol;59-50-7;4Cl3C1yFol;4-chloor-3-methylfenol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001166/;https://chem.nlm.nih.gov/chemidplus/rn/67-64-1;propanone (CH3)2CO;67-64-1;actn;aceton;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001173/;https://chem.nlm.nih.gov/chemidplus/rn/15972-60-8;NA;15972-60-8;alCl;alachloor;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001180/;https://chem.nlm.nih.gov/chemidplus/rn/2642-71-9;NA;2642-71-9;C2yazfs;ethylazinfos;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS001187/;https://chem.nlm.nih.gov/chemidplus/rn/25057-89-0;bentazon;25057-89-0;bentzn;bentazon;Geldig
