speciesname_original;modified;speciesname_corrected;identificationQualifier;author;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation
Pterospermataceae;exact;Pterospermataceae;;;172813;exact;urn:lsid:marinespecies.org:taxname:172813;9574;Pterospermataceae;;Added by Database Management Team;accepted;172813;Pterospermataceae;;Plantae;Chlorophyta;Prasinophyceae;Halosphaerales;Pterospermataceae;;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterospermataceae. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=172813 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Pyramimonas;exact;Pyramimonas;;;134529;exact;urn:lsid:marinespecies.org:taxname:134529;9535;Pyramimonas;Schmarda, 1849;Checked by Taxonomic Editor;accepted;134529;Pyramimonas;Schmarda, 1849;Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas Schmarda, 1849. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=134529 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Pyramimonas longicauda;exact;Pyramimonas longicauda;;;160513;exact;urn:lsid:marinespecies.org:taxname:160513;550497;Pyramimonas longicauda;L.Van Meel, 1969;Checked by Taxonomic Editor;accepted;160513;Pyramimonas longicauda;L.Van Meel, 1969;Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;;longicauda;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas longicauda L.Van Meel, 1969. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160513 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Pyrocystis hamulus;exact;Pyrocystis hamulus;;;232259;exact;urn:lsid:marinespecies.org:taxname:232259;10554;Pyrocystis hamulus;Cleve, 1900;Checked by Taxonomic Editor;accepted;232259;Pyrocystis hamulus;Cleve, 1900;Chromista;Myzozoa;Dinophyceae;Pyrocystales;Pyrocystaceae;Pyrocystis;;hamulus;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyrocystis hamulus Cleve, 1900. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=232259 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Pyrophacus horologium;exact;Pyrophacus horologium;;;232598;exact;urn:lsid:marinespecies.org:taxname:232598;;Pyrophacus horologium;F.Stein, 1883;Checked by Taxonomic Editor;accepted;232598;Pyrophacus horologium;F.Stein, 1883;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Pyrophacaceae;Pyrophacus;;horologium;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyrophacus horologium F.Stein, 1883. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=232598 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Raphidocelis sigmoidea;exact;Raphidocelis sigmoidea;;;617246;exact;urn:lsid:marinespecies.org:taxname:617246;;Raphidocelis sigmoidea;Hindák, 1977;Checked by Taxonomic Editor;accepted;617246;Raphidocelis sigmoidea;Hindák, 1977;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;;sigmoidea;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Raphidocelis sigmoidea Hindák, 1977. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=617246 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Rhabdonema;exact;Rhabdonema;;;157072;exact;urn:lsid:marinespecies.org:taxname:157072;3208;Rhabdonema;F.T. Kützing, 1844;Edited by Database Management Team;accepted;157072;Rhabdonema;F.T. Kützing, 1844;Chromista;Ochrophyta;Bacillariophyceae;Rhabdonematales;Rhabdonemataceae;Rhabdonema;;;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhabdonema F.T. Kützing, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=157072 on 2020-06-10;;
Rhabdonema arcuatum;exact;Rhabdonema arcuatum;;;157076;exact;urn:lsid:marinespecies.org:taxname:157076;3209;Rhabdonema arcuatum;(Lyngbye) Kützing, 1844;Edited by Database Management Team;accepted;157076;Rhabdonema arcuatum;(Lyngbye) Kützing, 1844;Chromista;Ochrophyta;Bacillariophyceae;Rhabdonematales;Rhabdonemataceae;Rhabdonema;;arcuatum;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhabdonema arcuatum (Lyngbye) Kützing, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=157076 on 2020-06-10;;
Rhaphoneis amphiceros;exact;Rhaphoneis amphiceros;;;149066;exact;urn:lsid:marinespecies.org:taxname:149066;3147;Rhaphoneis amphiceros;(Ehrenberg) Ehrenberg, 1844;Edited by Database Management Team;accepted;149066;Rhaphoneis amphiceros;(Ehrenberg) Ehrenberg, 1844;Chromista;Ochrophyta;Bacillariophyceae;Rhaponeidales;Rhaphoneidaceae;Rhaphoneis;;amphiceros;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhaphoneis amphiceros (Ehrenberg) Ehrenberg, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149066 on 2020-06-10;;
Rhizosolenia;exact;Rhizosolenia;;;149069;exact;urn:lsid:marinespecies.org:taxname:149069;2879;Rhizosolenia;T. Brightwell, 1858;Edited by Database Management Team;accepted;149069;Rhizosolenia;T. Brightwell, 1858;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhizosolenia T. Brightwell, 1858. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149069 on 2020-06-10;;
Rhizosolenia setigera;exact;Rhizosolenia setigera;;;149115;exact;urn:lsid:marinespecies.org:taxname:149115;2902;Rhizosolenia setigera;Brightwell, 1858;Edited by Database Management Team;accepted;149115;Rhizosolenia setigera;Brightwell, 1858;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;setigera;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhizosolenia setigera Brightwell, 1858. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149115 on 2020-06-10;;
Rhizosolenia styliformis;exact;Rhizosolenia styliformis;;;149629;exact;urn:lsid:marinespecies.org:taxname:149629;2904;Rhizosolenia styliformis;T.Brightwell, 1858;Edited by Database Management Team;accepted;149629;Rhizosolenia styliformis;T.Brightwell, 1858;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;styliformis;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhizosolenia styliformis T.Brightwell, 1858. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149629 on 2020-06-10;;
Rhodomonas lens;exact;Rhodomonas lens;;;248153;exact;urn:lsid:marinespecies.org:taxname:248153;10666;Rhodomonas lens;Pascher & Ruttner, 1913;Checked by Taxonomic Editor;accepted;248153;Rhodomonas lens;Pascher & Ruttner, 1913;Chromista;Cryptophyta;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;;lens;;1;1;1;1;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Rhodomonas lens Pascher & Ruttner, 1913. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=248153 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Rhoicosphenia;exact;Rhoicosphenia;;;149391;exact;urn:lsid:marinespecies.org:taxname:149391;3633;Rhoicosphenia;A. Grunow, 1860;Checked by Taxonomic Editor;accepted;149391;Rhoicosphenia;A. Grunow, 1860;Chromista;Ochrophyta;Bacillariophyceae;Cymbellales;Rhoicospheniaceae;Rhoicosphenia;;;;1;1;1;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhoicosphenia A. Grunow, 1860. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149391 on 2020-06-10;;
Roperia tesselata;exact;Roperia tesselata;;;149105;exact;urn:lsid:marinespecies.org:taxname:149105;2653;Roperia tesselata;(Roper) Grunow ex Pelletan, 1889;Edited by Database Management Team;alternate representation;163388;Eupodiscus tesselatus;Roper, 1858;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Roperia;;tesselata;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Roperia tesselata (Roper) Grunow ex Pelletan, 1889. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149105 on 2020-06-10;;
Sabulodinium undulatum;exact;Sabulodinium undulatum;;;110127;exact;urn:lsid:marinespecies.org:taxname:110127;;Sabulodinium undulatum;R.D.Saunders & J.D.Dodge, 1984;Checked by Taxonomic Editor;accepted;110127;Sabulodinium undulatum;R.D.Saunders & J.D.Dodge, 1984;Chromista;Myzozoa;Dinophyceae;Peridiniales;Oxytoxaceae;Sabulodinium;;undulatum;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sabulodinium undulatum R.D.Saunders & J.D.Dodge, 1984. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110127 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Scenedesmaceae;exact;Scenedesmaceae;;;160541;exact;urn:lsid:marinespecies.org:taxname:160541;6097;Scenedesmaceae;Oltmanns, 1904;Checked by Taxonomic Editor;accepted;160541;Scenedesmaceae;Oltmanns, 1904;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scenedesmaceae Oltmanns, 1904. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160541 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Scenedesmus;exact;Scenedesmus;;;160602;exact;urn:lsid:marinespecies.org:taxname:160602;6104;Scenedesmus;Meyen, 1829;Checked by Taxonomic Editor;accepted;160602;Scenedesmus;Meyen, 1829;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus;;;;1;;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scenedesmus Meyen, 1829. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160602 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Scenedesmus pectinatus;exact;Scenedesmus pectinatus;;;668512;exact;urn:lsid:marinespecies.org:taxname:668512;;Scenedesmus pectinatus;Meyen, 1829;Checked by Taxonomic Editor;unaccepted;623891;Pectinodesmus pectinatus;(Meyen) E.Hegewald, M.Wolf, Al.Keller, Friedl & Krienitz, 2010;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus;;pectinatus;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scenedesmus pectinatus Meyen, 1829. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=668512 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Scherffelia;exact;Scherffelia;;;370197;exact;urn:lsid:marinespecies.org:taxname:370197;;Scherffelia;Pascher, 1911;Checked by Taxonomic Editor;accepted;370197;Scherffelia;Pascher, 1911;Plantae;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Scherffelia;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scherffelia Pascher, 1911. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=370197 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Sclerodinium calyptroglyphe;exact;Sclerodinium calyptroglyphe;;;615516;exact;urn:lsid:marinespecies.org:taxname:615516;;Sclerodinium calyptroglyphe;(Lebour) J.D.Dodge, 1981;Checked by Taxonomic Editor;accepted;615516;Sclerodinium calyptroglyphe;(Lebour) J.D.Dodge, 1981;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Sclerodinium;;calyptroglyphe;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sclerodinium calyptroglyphe (Lebour) J.D.Dodge, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=615516 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Scrippsiella;exact;Scrippsiella;;;109545;exact;urn:lsid:marinespecies.org:taxname:109545;10536;Scrippsiella;Balech ex A.R.Loeblich III, 1965;Checked by Taxonomic Editor;accepted;109545;Scrippsiella;Balech ex A.R.Loeblich III, 1965;Chromista;Myzozoa;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scrippsiella Balech ex A.R.Loeblich III, 1965. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109545 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Scrippsiella trochoidea;exact;Scrippsiella trochoidea;;;110172;exact;urn:lsid:marinespecies.org:taxname:110172;10537;Scrippsiella trochoidea;(F.Stein) A.R.Loeblich III, 1976;Checked by Taxonomic Editor;unaccepted;1321853;Scrippsiella acuminata;(Ehrenberg) Kretschmann, Elbrächter, Zinssmeister, S.Soehner, Kirsch, Kusber & Gottschling, 2015;Chromista;Myzozoa;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;;trochoidea;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scrippsiella trochoidea (F.Stein) A.R.Loeblich III, 1976. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110172 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Selenastraceae;exact;Selenastraceae;;;599705;exact;urn:lsid:marinespecies.org:taxname:599705;954992;Selenastraceae;;Checked by Taxonomic Editor;accepted;599705;Selenastraceae;;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Selenastraceae. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=599705 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Siderocelis;exact;Siderocelis;;;601058;exact;urn:lsid:marinespecies.org:taxname:601058;;Siderocelis;(Naumann) Fott, 1934;Checked by Taxonomic Editor;accepted;601058;Siderocelis;(Naumann) Fott, 1934;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Siderocelis;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Siderocelis (Naumann) Fott, 1934. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=601058 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Siderocelis sphaerica;exact;Siderocelis sphaerica;;;624707;exact;urn:lsid:marinespecies.org:taxname:624707;;Siderocelis sphaerica;Hindák, 1977;Checked by Taxonomic Editor;accepted;624707;Siderocelis sphaerica;Hindák, 1977;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Siderocelis;;sphaerica;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Siderocelis sphaerica Hindák, 1977. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=624707 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Sinophysis ebriola;exact;Sinophysis ebriola;;;663187;exact;urn:lsid:marinespecies.org:taxname:663187;;Sinophysis ebriola;(Herdman) Balech, 1956;Checked by Taxonomic Editor;accepted;663187;Sinophysis ebriola;(Herdman) Balech, 1956;Chromista;Myzozoa;Dinophyceae;Dinophysiales;Dinophysiaceae;Sinophysis;;ebriola;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sinophysis ebriola (Herdman) Balech, 1956. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=663187 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Sinophysis stenosoma;exact;Sinophysis stenosoma;;;232532;exact;urn:lsid:marinespecies.org:taxname:232532;;Sinophysis stenosoma;Hoppenrath, 2000;Checked by Taxonomic Editor;accepted;232532;Sinophysis stenosoma;Hoppenrath, 2000;Chromista;Myzozoa;Dinophyceae;Dinophysiales;Dinophysiaceae;Sinophysis;;stenosoma;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sinophysis stenosoma Hoppenrath, 2000. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=232532 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Skeletonema;exact;Skeletonema;;;149073;exact;urn:lsid:marinespecies.org:taxname:149073;2401;Skeletonema;R.K. Greville, 1865;Edited by Database Management Team;accepted;149073;Skeletonema;R.K. Greville, 1865;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Skeletonemaceae;Skeletonema;;;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Skeletonema R.K. Greville, 1865. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149073 on 2020-06-10;;
Skeletonema potamos;exact;Skeletonema potamos;;;163390;exact;urn:lsid:marinespecies.org:taxname:163390;2414;Skeletonema potamos;(C.I.Weber) Hasle, 1976;Edited by Database Management Team;alternate representation;163392;Microsiphona potamos;C.I.Weber, 1970;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Skeletonemaceae;Skeletonema;;potamos;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Skeletonema potamos (C.I.Weber) Hasle, 1976. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163390 on 2020-06-10;;
Snowella;exact;Snowella;;;146644;exact;urn:lsid:marinespecies.org:taxname:146644;;Snowella;Elenkin, 1938;Checked by Taxonomic Editor;accepted;146644;Snowella;Elenkin, 1938;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Merismopediaceae;Snowella;;;;0;0;1;0;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Snowella Elenkin, 1938. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146644 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Solenicola setigera;exact;Solenicola setigera;;;118073;exact;urn:lsid:marinespecies.org:taxname:118073;;Solenicola setigera;Pavillard, 1916;Checked by Taxonomic Editor;accepted;118073;Solenicola setigera;Pavillard, 1916;Protozoa;;;;;Solenicola;;setigera;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Solenicola setigera Pavillard, 1916. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=118073 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Spatulodinium pseudonoctiluca;exact;Spatulodinium pseudonoctiluca;;;109923;exact;urn:lsid:marinespecies.org:taxname:109923;;Spatulodinium pseudonoctiluca;(Pouchet) J.Cachon & M.Cachon, 1968;Checked by Taxonomic Editor;accepted;109923;Spatulodinium pseudonoctiluca;(Pouchet) J.Cachon & M.Cachon, 1968;Chromista;Myzozoa;Dinophyceae;Noctilucales;Kofoidiniaceae;Spatulodinium;;pseudonoctiluca;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Spatulodinium pseudonoctiluca (Pouchet) J.Cachon & M.Cachon, 1968. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109923 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Spermatozopsis;exact;Spermatozopsis;;;578432;exact;urn:lsid:marinespecies.org:taxname:578432;9553;Spermatozopsis;Korshikov, 1913;Checked by Taxonomic Editor;accepted;578432;Spermatozopsis;Korshikov, 1913;Plantae;Chlorophyta;Chlorophyceae;Volvocales;Dunaliellaceae;Spermatozopsis;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Spermatozopsis Korshikov, 1913. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=578432 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Spermatozopsis exsultans;exact;Spermatozopsis exsultans;;;578433;exact;urn:lsid:marinespecies.org:taxname:578433;9554;Spermatozopsis exsultans;Korshikov, 1913;Checked by Taxonomic Editor;accepted;578433;Spermatozopsis exsultans;Korshikov, 1913;Plantae;Chlorophyta;Chlorophyceae;Volvocales;Dunaliellaceae;Spermatozopsis;;exsultans;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Spermatozopsis exsultans Korshikov, 1913. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=578433 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
